,Frame,center_x,center_y,w,h,label,type
0,2007_000027.jpg,436.0,401.5,175,250,0,trainval
1,2007_000032.jpg,427.0,222.0,271,105,1,trainval
2,2007_000032.jpg,263.5,167.0,64,35,1,trainval
3,2007_000032.jpg,310.5,319.0,18,49,0,trainval
4,2007_000032.jpg,57.0,332.5,18,49,0,trainval
5,2007_000033.jpg,503.5,316.5,490,156,1,trainval
6,2007_000033.jpg,692.5,326.0,61,26,1,trainval
7,2007_000033.jpg,573.5,317.0,86,35,1,trainval
8,2007_000039.jpg,422.0,323.5,188,190,2,trainval
9,2007_000042.jpg,631.5,311.0,237,263,3,trainval
10,2007_000042.jpg,235.5,317.0,234,263,3,trainval
11,2007_000061.jpg,574.0,284.5,163,268,4,trainval
12,2007_000061.jpg,373.0,359.0,97,38,4,trainval
13,2007_000063.jpg,440.5,332.5,256,160,5,trainval
14,2007_000063.jpg,465.5,375.5,353,374,6,trainval
15,2007_000068.jpg,279.5,397.5,239,330,7,trainval
16,2007_000121.jpg,600.5,281.0,224,239,2,trainval
17,2007_000121.jpg,262.0,287.0,229,245,2,trainval
18,2007_000123.jpg,358.5,353.0,357,314,3,trainval
19,2007_000129.jpg,290.0,601.0,185,298,8,trainval
20,2007_000129.jpg,459.5,621.0,83,258,8,trainval
21,2007_000129.jpg,67.5,508.0,66,292,8,trainval
22,2007_000129.jpg,66.5,363.5,65,362,0,trainval
23,2007_000129.jpg,309.0,462.5,198,461,0,trainval
24,2007_000129.jpg,460.0,496.5,82,468,0,trainval
25,2007_000170.jpg,152.5,215.0,22,65,9,trainval
26,2007_000170.jpg,93.5,238.0,32,67,9,trainval
27,2007_000170.jpg,514.0,280.0,28,58,9,trainval
28,2007_000170.jpg,656.0,273.5,17,38,9,trainval
29,2007_000170.jpg,44.5,251.5,40,115,0,trainval
30,2007_000170.jpg,463.0,386.0,457,344,0,trainval
31,2007_000175.jpg,431.5,288.0,394,237,10,trainval
32,2007_000187.jpg,240.5,383.5,239,241,2,trainval
33,2007_000241.jpg,678.0,371.5,144,97,4,trainval
34,2007_000241.jpg,172.0,267.5,82,104,4,trainval
35,2007_000241.jpg,471.0,284.0,102,83,4,trainval
36,2007_000243.jpg,364.5,256.5,93,66,1,trainval
37,2007_000250.jpg,474.5,460.0,473,205,11,trainval
38,2007_000250.jpg,198.5,359.0,53,173,9,trainval
39,2007_000256.jpg,495.0,280.0,483,136,1,trainval
40,2007_000272.jpg,316.5,535.5,279,429,0,trainval
41,2007_000323.jpg,638.5,376.5,223,372,0,trainval
42,2007_000323.jpg,311.0,376.5,293,372,0,trainval
43,2007_000332.jpg,312.0,287.0,231,212,12,trainval
44,2007_000333.jpg,367.5,289.5,366,231,3,trainval
